id,quality
1,4
2,3
3,5
4,4
5,4
6,5
7,4
8,4
9,4
10,4
11,3
12,4
13,5
14,4
15,4
16,4
17,5
18,5
19,5
20,4
21,4
22,3
23,3
24,5
25,4
26,5
27,4
28,4
29,4
30,4
31,4
32,4
33,3
34,4
35,5
36,4
37,5
38,3
39,4
40,4
41,3
42,5
43,4
44,4
45,5
46,4
47,4
48,5
49,4
50,3
51,4
52,5
53,5
54,5
55,4
56,5
57,3
58,2
59,4
60,4
61,4
62,2
63,4
64,5
65,5
66,4
67,3
68,4
69,4
70,5
71,4
72,4
73,5
74,4
75,4
76,4
77,5
78,5
79,4
80,4
81,4
82,4
83,4
84,4
85,4
86,4
87,3
88,5
89,4
90,5
91,5
92,4
93,3
94,3
95,4
96,4
97,4
98,3
99,4
100,4
101,5
102,5
103,4
104,3
105,5
106,3
107,4
108,5
109,4
110,3
111,3
112,4
113,3
114,4
115,3
116,4
117,3
118,4
119,3
120,3
121,4
122,4
123,4
124,5
125,4
126,4
127,4
128,4
129,6
130,5
131,5
132,5
133,4
134,4
135,4
136,4
137,5
138,5
139,3
140,4
141,4
142,5
143,4
144,5
145,4
146,4
147,4
148,4
149,5
150,4
151,4
152,5
153,5
154,5
155,4
156,5
157,4
158,4
159,4
160,5
161,4
162,4
163,5
164,4
165,5
166,4
167,4
168,4
169,4
170,5
171,4
172,3
173,4
174,3
175,5
176,4
177,4
178,3
179,5
180,5
181,4
182,4
183,5
184,4
185,4
186,4
187,4
188,3
189,4
190,4
191,5
192,4
193,4
194,5
195,4
196,3
197,3
198,4
199,5
200,4
201,4
202,5
203,4
204,3
205,5
206,5
207,4
208,5
209,4
210,4
211,5
212,4
213,4
214,5
215,5
216,3
217,5
218,4
219,3
220,5
221,3
222,3
223,5
224,4
225,3
226,4
227,3
228,3
229,3
230,5
231,5
232,3
233,5
234,4
235,5
236,4
237,4
238,5
239,4
240,4
241,4
242,4
243,5
244,4
245,5
246,4
247,4
248,5
249,4
250,3
251,5
252,4
253,4
254,4
255,5
256,4
257,3
258,4
259,4
260,3
261,3
262,4
263,3
264,4
265,5
266,5
267,4
268,5
269,4
270,3
271,4
272,3
273,4
274,5
275,3
276,4
277,5
278,4
279,4
280,4
281,4
282,4
283,3
284,4
285,4
286,4
287,4
288,5
289,4
290,3
291,4
292,4
293,4
294,4
295,4
296,5
297,3
298,4
299,3
300,3
301,2
302,5
303,4
304,4
305,3
306,3
307,4
308,4
309,4
310,5
311,5
312,5
313,4
314,5
315,4
316,5
317,5
318,3
319,4
320,5
321,4
322,4
323,4
324,5
325,5
326,4
327,3
328,5
329,4
330,4
331,3
332,5
333,4
334,4
335,4
336,4
337,5
338,5
339,4
340,4
341,4
342,4
343,4
344,5
345,3
346,4
347,4
348,3
349,4
350,5
351,4
352,4
353,4
354,3
355,4
356,4
357,5
358,5
359,5
360,4
361,4
362,4
363,4
364,3
365,5
366,5
367,5
368,4
369,4
370,6
371,5
372,5
373,4
374,5
375,3
376,4
377,4
378,4
379,5
380,4
381,3
382,5
383,5
384,3
385,3
386,4
387,2
388,4
389,5
390,4
391,3
392,4
393,5
394,4
395,3
396,5
397,4
398,4
399,4
400,4
401,3
402,5
403,5
404,4
405,4
406,5
407,4
408,3
409,3
410,5
411,4
412,5
413,3
414,5
415,4
416,5
417,4
418,5
419,5
420,4
421,4
422,4
423,4
424,5
425,4
426,5
427,4
428,2
429,5
430,5
431,4
432,3
433,4
434,3
435,4
436,4
437,4
438,4
439,5
440,4
441,5
442,3
443,4
444,4
445,3
446,4
447,4
448,4
449,5
450,3
451,4
452,4
453,2
454,5
455,3
456,3
457,4
458,5
459,4
460,4
461,5
462,4
463,4
464,4
465,4
466,4
467,3
468,4
469,3
470,5
471,4
472,4
473,4
474,4
475,5
476,5
477,4
478,5
479,4
480,4
481,2
482,4
483,5
484,4
485,3
486,4
487,5
488,5
489,5
490,4
491,3
492,3
493,4
494,4
495,4
496,4
497,4
498,4
499,4
500,5
501,4
502,4
503,5
504,5
505,3
506,4
507,4
508,3
509,3
510,4
511,3
512,4
513,4
514,5
515,4
516,4
517,3
518,4
519,3
520,4
521,4
522,5
523,3
524,3
525,4
526,4
527,5
528,3
529,3
530,4
531,5
532,4
533,3
534,5
535,5
536,4
537,4
538,3
539,5
540,4
541,4
542,4
543,4
544,4
545,4
546,3
547,5
548,4
549,3
550,4
551,4
552,4
553,3
554,4
555,4
556,5
557,4
558,3
559,4
560,3
561,5
562,4
563,5
564,4
565,4
566,3
567,7
568,5
569,4
570,4
571,4
572,5
573,4
574,3
575,3
576,4
577,5
578,4
579,4
580,4
581,5
582,3
583,4
584,5
585,3
586,4
587,3
588,5
589,3
590,4
591,4
592,5
593,4
594,5
595,3
596,3
597,3
598,4
599,3
600,3
601,4
602,5
603,5
604,5
605,4
606,3
607,4
608,3
609,5
610,4
611,5
612,5
613,3
614,4
615,4
616,2
617,4
618,4
619,3
620,3
621,4
622,4
623,3
624,3
625,4
626,5
627,5
628,5
629,5
630,3
631,3
632,4
633,4
634,4
635,4
636,3
637,3
638,4
639,5
640,4
641,4
642,4
643,3
644,4
645,4
646,4
647,4
648,4
649,4
650,3
651,5
652,5
653,4
654,5
655,4
656,5
657,4
658,4
659,4
660,3
661,4
662,5
663,3
664,4
665,4
666,5
667,3
668,3
669,4
670,5
671,5
672,5
673,4
674,4
675,4
676,4
677,3
678,4
679,3
680,3
681,4
682,4
683,4
684,4
685,5
686,3
687,4
688,4
689,4
690,3
691,3
692,4
693,4
694,3
695,5
696,4
697,3
698,4
699,5
700,5
701,4
702,3
703,2
704,4
705,3
706,5
707,3
708,5
709,3
710,5
711,4
712,3
713,4
714,4
715,5
716,5
717,4
718,4
719,5
720,5
721,5
722,4
723,4
724,5
725,4
726,5
727,3
728,5
729,5
730,4
731,5
732,6
733,4
734,4
735,4
736,4
737,4
738,3
739,2
740,4
741,5
742,4
743,4
744,3
745,3
746,5
747,4
748,5
749,3
750,4
751,5
752,4
753,4
754,4
755,5
756,4
757,4
758,4
759,4
760,4
761,4
762,4
763,4
764,5
765,3
766,4
767,4
768,3
769,5
770,5
771,5
772,3
773,3
774,3
775,3
776,4
777,4
778,4
779,4
780,4
781,3
782,5
783,4
784,5
785,3
786,4
787,4
788,5
789,4
790,4
791,5
792,4
793,3
794,5
795,4
796,4
797,4
798,4
799,5
800,5
801,3
802,4
803,4
804,3
805,4
806,5
807,5
808,5
809,4
810,5
811,4
812,3
813,4
814,4
815,4
816,4
817,4
818,4
819,4
820,4
821,4
822,4
823,4
824,4
825,4
826,3
827,4
828,4
829,4
830,3
831,3
832,4
833,5
834,4
835,4
836,4
837,5
838,4
839,4
840,4
841,3
842,5
843,1
844,3
845,4
846,4
847,5
848,2
849,5
850,3
851,4
852,4
853,4
854,4
855,5
856,5
857,3
858,5
859,4
860,4
861,4
862,4
863,5
864,5
865,2
866,3
867,4
868,5
869,5
870,4
871,4
872,3
873,4
874,5
875,4
876,3
877,4
878,5
879,5
880,5
881,4
882,4
883,4
884,5
885,5
886,4
887,4
888,5
889,3
890,4
891,5
892,4
893,4
894,4
895,4
896,2
897,4
898,4
899,3
900,3
901,4
902,3
903,3
904,4
905,4
906,4
907,5
908,3
909,4
910,4
911,5
912,3
913,3
914,5
915,3
916,3
917,3
918,4
919,5
920,5
921,5
922,4
923,4
924,3
925,3
926,3
927,4
928,3
929,5
930,4
931,5
932,5
933,2
934,4
935,5
936,5
937,4
938,5
939,3
940,5
941,5
942,2
943,2
944,3
945,4
946,4
947,5
948,4
949,4
950,3
951,3
952,5
953,6
954,3
955,5
956,4
957,5
958,4
959,4
960,4
961,4
962,4
963,5
964,4
965,4
966,5
967,4
968,3
969,4
970,5
971,3
972,5
973,4
974,4
975,4
976,3
977,5
978,4
979,4
980,4
981,3
982,5
983,5
984,4
985,3
986,4
987,4
988,5
989,5
990,4
991,4
992,4
993,3
994,5
995,4
996,5
997,3
998,4
999,3
1000,4
